vendor,price,cat1,cat2,cat3,title
wendy,0.001044,Other products,Digital items,Other digital,'VideoBox - [PORN LIFETIME ACCOUNT]'
egregore,0.073108,Drugs,Pharmacy,Benzos,'★ Galenika Ksalol (Alprazolam) ☛ 1000 pills x 1 mg ☚ BEST PRICE ★'
wendy,0.001044,Other products,Digital items,Erotica,'MenAtPlay.com – [GAY PORN LIFETIME ACCOUNT]'
bestherbs,0.03857,Drugs,Cannabis,Weed,'50g Medical AK-47'
rocketchem,0.008452,Drugs,Pharmacy,Benzos,'Etilaam ® 200 tablets 1mg Etizolam'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'DMT The Spirit Molecule - Rick Strassman'
hollanpetters,0.151507,Other products,Self-defence,Guns and ammo,'Beretta PX4 Storm Sub Compact .40S&amp;W'
ksanori,0.023617,Drugs,Stimulants,Cocaine,'Kokaiini 1g'
qzfwrty,0.008988,Drugs,Empathogens,MDMA,'15 GRAM MDMA crystals 84% '
youngamsterdam,0.026284,Drugs,Empathogens,Ecstasy,'100x Heineken XTC MDMA Pills  140-160mg'
appleinc,0.009916,Drugs,Pharmacy,Benzos,'100 x 10mg Roche Diazepam (Loose)'
simon-labond,0.900145,Drugs,Pharmacy,Benzos,'8 Ounces Alprazolam Powder (224g) 99.9% Pure Sale Price!'
noogz,0.115818,Drugs,Empathogens,Ecstasy,'1000x Bird Ecstasy mdma pill 140+ MG'
dope-total,0.002051,Drugs,Psychedelics,LSD,'2 x Truth LSD 200uq Gold Crystal Pure Experience (Jerry Garcia)'
extramoney,0.029105,Drugs,Opiates,Heroin,'5 gr high quality Afghan Heroin'
fast1egen,0.00642,Drugs,Pharmacy,ADHD,'Ritalin Novartis 20 mg ORIGINAL 10 caps Long Release'
dmt-king,0.00387,Drugs,Psychedelics,DMT / AMT,'0,5 GRAM  DMT YELLOW (DMT 85%)(free shipping)'
wirex-card,0.021442,Drugs,Stimulants,Metamphetamine,'2,5 g Crystal Meth Very High Quality &quot;Pink Champagne&quot;'
wooody,0.001042,,Other products,Services,'VividCeleb.com - [LIFETIME PORN PREMIUM ACCOUNT]'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'543 For Dummies E-Books'
greenjack,0.001461,Drugs,Cannabis,Weed,'Pot Of Gold 1g/Outdoor/AAA'
pillerikauppa,0.004389,Drugs,Pharmacy,Sleep,'90x 25mg levozin ( Levomepromatsiini ) *Suomi apteekki*'
cbdqueenuk,0.0,Drugs,Pharmacy,Benzos,'100 x 2mg Pfizer x/2 Xanax (Alprazolam) bars'
dope-bank,0.00859,Drugs,Stimulants,Cocaine,'1 gr. Colombian uncut pure Cocaine 88%'
dreamdoc,0.130374,Other products,Services,Money,'Super Best Quality counterfeit Notes 100x$50= $5000 Promotion!!'
pachoherrera,0.014109,Drugs,Empathogens,Ecstasy,'50 X PHILLIP PLEIN 300MG'
insidethewhaie,0.009621,Drugs,Stimulants,Amphetamine,'20g - HQ BASE SPEED - STRONG AND FANTASTIC VALUE!'
thegermanbudtender1,0.001988,Drugs,Cannabis,Weed,'1g OG Kush LemonLarry/ SuperLemonHaze/NebulaHaze/Amnesia/PowerKus'
qzfwrty,0.154073,Drugs,Cannabis,Weed,'120g  Blue Berry '
herbamedicus2,0.025532,,Other products,Body building,'custom pablo'
appleinc,0.004906,Drugs,Pharmacy,Benzos,'25 x 10mg Roche Diazepam (Loose)'
idealpills,0.085592,Drugs,Pharmacy,Benzos,'725x Rivotril 2 MG Pills (Loose)'
stealthydrugs,0.077656,Drugs,Cannabis,Hash,'100 gr. High Quality Hash Maroc Polm AAA+'
legalizewid,0.130372,Drugs,Cannabis,Concentrates,'128 Grams Platinum GSC Shatter-Medical Grade++(BHO) '
pachoherrera,0.096195,Drugs,Empathogens,Ecstasy,'500 X ORANGE DIAMONDS'
eztkapdel,0.003612,Drugs,Pharmacy,Benzos,'25 x 1mg Etizolam Pills Best Quality!'
happy-drugs,0.008778,Drugs,Opiates,Heroin,'1 gr AAA+ High Quality Afghan Heroin!'
