'/herbamedicus2',0.005585,'Other products','Body building','Testosterone','Propalan 100mg'
'/mushroomgirl',0.007523,'Drugs','Psychedelics','Mushrooms','New Seller Special!! 1/2 Ounce (15 Grams) Shrooms $65'
'/lawnmowerman',0.021203,'Drugs','Cannabis','Weed','1 ounce of Wild Zombie - Ship to USA'
'/sspaceagent',0.000181,'','Other products','Digital items','UFC Premium ACC (Lifetime Warranty)'
'/dutchexpress',0.015605,'Drugs','Stimulants','Cocaine','♛2G♛ Uncut Columbian Cocaine♛ '
'/bigdeal',0.01501,'Other products','Classifieds','Replicas','YSL lady Bag 8057 Replica 0q26-18'
'/fakeid',0.107179,'Drugs','Empathogens','MDMA','Dutch passport'
'/dreamdoc',0.130374,'Other products','Services','Money','Super Best Quality counterfeit Notes 100x$50= $5000 Promotion!!'
'/eztkapdel',0.005129,'Drugs','Pharmacy','Benzos','Unopened box ox Xanax 0.5 mg 100piece 50mg total'
'/sultanofdrugs',0.00284,'Drugs','Cannabis','Weed','2 g BIO Super Lemon Haze - Grade AAA+'
'/speedy_j',0.048188,'Drugs','Psychedelics','LSD','[FE] 100 x 220 UG LSD'
'/dutchdreams',0.006206,'Drugs','Cannabis','Weed',' CRITICAL KUSH 5  GRAM freeshipping'
'/qzfwrty',0.10434,'Other products','Services','Fake IDs','BUY  Passport ID Cards Drivers / MMJ License BIRTH CERTIFICATE '
'/theshop',0.000208,'Other products','Digital items','Erotica','★ eWhoring Pack (THE CHEAPEST!) ★'
'/cerberus',0.003292,'Drugs','Pharmacy','Erectile dysfunction','Viagra Generics 100mg x20 Tabs Sildamax'
'/holloboss',0.026167,'Other products','Services','Money','Quality Dollar Notes 10* $100=1000'
'/ravegoddess',0.070651,'Drugs','Empathogens','MDMA','50 grams of pure Dutch MDMA'
'/pharmroids',0.008455,'Other products','Body building','Other injectables','Venaject | Stanozolol | 10ml vial (100 mg/ml) - Thaiger'
'/dionysos',0.011458,'Other products','Classifieds','Replicas','Rolex Submariner (Replica)'
'/smart666tiger',0.000898,'Other products','Digital items','Erotica','DEFINITIVE HERPES CURE'
'/bennys',0.231573,'Drugs','Pharmacy','Benzos','5000x 2mg G3722 Xanax FREE PRIORITY SHIPPING'
'/theshop',0.000312,'','Other products','Digital items','♕ DRUG GUIDES MEGAPACK ♕'
'/peters-garden',0.007704,'Drugs','Psychedelics','2C-x','1 gr.  2C-B 99% Purity'
'/chemical_usa',0.039915,'Drugs','Opiates','Fentanyl','3.5g China White Synthetic Heroin Acetyl Mix'
'/thecanadianreserve',0.004195,'Drugs','Cannabis','Weed','Purple Kush 7.5 grams 'AAA' Indoor'
'/harrispowell',0.005224,'','Drugs','Pharmacy','Copy of Buy Actavis Promethazine Codeine Cough Syrup 16oz'
'/holloboss',0.026167,'Other products','Services','Money',' Quality Dollar Notes 10* $100=1000'
'/stoned100',0.048979,'Drugs','Empathogens','MDMA','40g Cola MDMA Crystal Rocks 86%'
'/rocketchem',0.029415,'Drugs','Stimulants','MDPV','BK-EBDP (Ephylone, BK-Ethyl-K) crystal 50g'
'/viking_king',0.005307,'Drugs','Cannabis','Hash','★ 2.5G ★ LYS POLLEN HASJ ★ MYK ★ TOPP KVALITET ★ GRATIS FRAKT ★'
'/theshop',0.000051,'','Other products','Digital items','♕ The Men's Fitness Exercise Bible ♕'
'/bathramme',0.009219,'Drugs','Pharmacy','Benzos','RIVOTRIL CLONAZEPAM 2mg 100 pieces by ROCHE'
'/theanchor',0.005163,'Drugs','Cannabis','Hash','5gm MALANA HASH SALE SALE SALE'
'/tohtori-outolempi',0.006025,'Drugs','Pharmacy','Benzos','Rivatril 2mg - 10kpl - *Avajaistarjous*'
'/orangeone',0.0,'Drugs','Cannabis','Hash','FREE SHIPPING-1 g. of CHEWING HASH  Quality-'
'/sons-of-anarchi',0.004773,'Drugs','Cannabis','Weed','5g+1g free kritical kush indoor hidroponic--high thc---'
'/joseph-barboza',0.000968,'Drugs','Empathogens','MDMA','★ 0.5 gram MDMA Crystals (Molly) 84% '
'/topshelfnugs',0.004793,'Drugs','Cannabis','Hash','3.5 grams GREAT Hash'
'/moneylord12',0.00981,'','Drugs','Cannabis','10g  Dutch Passion's  Ultimate  | Free UK Shipping AND FINLAND '
'/superieure',0.006926,'Drugs','Opiates','Heroin','1g Afghan Heroin #3  AAA-Quali rocksonly! PROMO-Preis'
'/idealpills',0.062626,'Drugs','Pharmacy','Benzos','550x Valium 10 MG Pills (Loose)'
'/ksanori',0.005006,'Drugs','Opiates','Oxycodone','OxyContin 40mg 1kpl *Suomituote*'
'/cerberus',0.014581,'Other products','Classifieds','Replicas','Canada Goose Green M'
'/europa-drugs',0.006667,'Drugs','Empathogens','Ecstasy','10 x XTC MDMA 220mg Domino Pills'
'/faceless',0.001975,'Drugs','Pharmacy','Erectile dysfunction','4x Sildenafil Orion 50mg'
'/hank_scorpio',0.001398,'Drugs','Empathogens','Ecstasy','2x Ace of Spades combo pills [125mg MDMA // 75mg MDA]'
'/drugs-crew',0.016306,'Drugs','Empathogens','Ecstasy','25 x XTC PEACE LOVE ROCK &amp; ROLL 225mg'
'/lionsmokeruk',0.017643,'Drugs','Cannabis','Weed','[Opening Offer][UK]£140 - 28g of Lemon Kush AAA 9/10 - FE'
'/pachoherrera',0.001807,'Drugs','Dissociatives','Ketamine',' 0.5G KETAMINE POWDER'
'/diilahfin',0.005772,'Drugs','Opiates','Buprenorphine','Temgesic 0,4mg 5kpl'
'/cosmic_consciousness',0.012194,'Drugs','Psychedelics','LSD','50 x 'Yin' - Aalbion's Asian (China Grey) @ 100ug'
'/smart666tiger',0.004339,'Other products','Digital items','Other digital','CashOut ANY Bank Account&amp;Make A Killing With ACH T'
'/theshop',0.000103,'Other products','Services','n/a','♕ How To Be A Pro Carder ♕'
'/hackyboy',0.002177,'Other products','Digital items','Credit card data','1 X UK CREDIT CARDS ***** FRESH CC'
